CBSA,GEOID,total,mtotal,mu5,ftotal,fu5,tu5,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmu5,Pfu5,Ptu5,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,CBSAFIPS
"Homosassa Springs, FL Metro Area",310M200US26140,139771,67497,2639,72274,2793,5432,8173,7883,16056,6988,6343,13331,5370,5215,10585,6820,7810,14630,15045,17739,32784,22462,24491,46953,1.9,2.0,3.9,5.8,5.6,11.5,5.0,4.5,9.5,3.8,3.7,7.6,4.9,5.6,10.5,10.8,12.7,23.5,16.1,17.5,33.6,Homosassa Springs, FL,26140
"Hickory-Lenoir-Morganton, NC Metro Area",310M200US25860,363936,180006,10129,183930,9973,20102,31202,29556,60758,26522,24083,50605,22002,21270,43272,26945,26560,53505,37452,39289,76741,25754,33199,58953,2.8,2.7,5.5,8.6,8.1,16.7,7.3,6.6,13.9,6.0,5.8,11.9,7.4,7.3,14.7,10.3,10.8,21.1,7.1,9.1,16.2,Hickory-Lenoir-Morganton, NC,25860
"Hobbs, NM Micro Area",310M200US26020,66876,34219,2909,32657,2881,5790,7194,6948,14142,6207,5476,11683,4797,4318,9115,4182,3617,7799,5624,5562,11186,3306,3855,7161,4.3,4.3,8.7,10.8,10.4,21.1,9.3,8.2,17.5,7.2,6.5,13.6,6.3,5.4,11.7,8.4,8.3,16.7,4.9,5.8,10.7,Hobbs, NM,26020
"Holland, MI Micro Area",310M200US26090,112266,55910,3599,56356,3468,7067,11033,10444,21477,7422,7258,14680,6575,6561,13136,7933,7865,15798,12100,12175,24275,7248,8585,15833,3.2,3.1,6.3,9.8,9.3,19.1,6.6,6.5,13.1,5.9,5.8,11.7,7.1,7.0,14.1,10.8,10.8,21.6,6.5,7.6,14.1,Holland, MI,26090
"Hood River, OR Micro Area",310M200US26220,22620,11169,800,11451,716,1516,2050,2176,4226,1641,1481,3122,1267,1505,2772,1776,1568,3344,2276,2274,4550,1359,1731,3090,3.5,3.2,6.7,9.1,9.6,18.7,7.3,6.5,13.8,5.6,6.7,12.3,7.9,6.9,14.8,10.1,10.1,20.1,6.0,7.7,13.7,Hood River, OR,26220
"Hot Springs, AR Metro Area",310M200US26300,96804,46955,2884,49849,2470,5354,7635,7236,14871,6359,6438,12797,5506,5532,11038,5503,5977,11480,9828,10810,20638,9240,11386,20626,3.0,2.6,5.5,7.9,7.5,15.4,6.6,6.7,13.2,5.7,5.7,11.4,5.7,6.2,11.9,10.2,11.2,21.3,9.5,11.8,21.3,Hot Springs, AR,26300
"Houghton, MI Micro Area",310M200US26340,38936,21155,1134,17781,976,2110,3062,2773,5835,6523,3424,9947,1838,1689,3527,2052,2029,4081,3645,3545,7190,2901,3345,6246,2.9,2.5,5.4,7.9,7.1,15.0,16.8,8.8,25.5,4.7,4.3,9.1,5.3,5.2,10.5,9.4,9.1,18.5,7.5,8.6,16.0,Houghton, MI,26340
"Houma-Thibodaux, LA Metro Area",310M200US26380,209402,103596,7610,105806,6893,14503,19263,18427,37690,17990,17977,35967,13453,13397,26850,14107,14380,28487,19704,20240,39944,11469,14492,25961,3.6,3.3,6.9,9.2,8.8,18.0,8.6,8.6,17.2,6.4,6.4,12.8,6.7,6.9,13.6,9.4,9.7,19.1,5.5,6.9,12.4,Houma-Thibodaux, LA,26380
"Houston-The Woodlands-Sugar Land, TX Metro Area",310M200US26420,6204141,3083945,243155,3120196,233450,476605,625479,598481,1223960,541479,519659,1061138,458876,461786,920662,428213,433192,861405,533845,554486,1088331,252898,319142,572040,3.9,3.8,7.7,10.1,9.6,19.7,8.7,8.4,17.1,7.4,7.4,14.8,6.9,7.0,13.9,8.6,8.9,17.5,4.1,5.1,9.2,Houston-The Woodlands-Sugar Land, TX,26420
"Hudson, NY Micro Area",310M200US26460,62525,31495,1468,31030,1326,2794,4973,4286,9259,4145,3727,7872,3257,2866,6123,4223,4650,8873,7824,7648,15472,5605,6527,12132,2.3,2.1,4.5,8.0,6.9,14.8,6.6,6.0,12.6,5.2,4.6,9.8,6.8,7.4,14.2,12.5,12.2,24.7,9.0,10.4,19.4,Hudson, NY,26460
"Huntingdon, PA Micro Area",310M200US26500,45950,24221,1179,21729,1068,2247,3278,3298,6576,3961,3174,7135,3562,2092,5654,3517,3018,6535,5074,4640,9714,3650,4439,8089,2.6,2.3,4.9,7.1,7.2,14.3,8.6,6.9,15.5,7.8,4.6,12.3,7.7,6.6,14.2,11.0,10.1,21.1,7.9,9.7,17.6,Huntingdon, PA,26500
"Huntington, IN Micro Area",310M200US26540,36959,18188,1084,18771,1037,2121,3260,3068,6328,2906,2966,5872,2143,2049,4192,2507,2503,5010,3904,3906,7810,2384,3242,5626,2.9,2.8,5.7,8.8,8.3,17.1,7.9,8.0,15.9,5.8,5.5,11.3,6.8,6.8,13.6,10.6,10.6,21.1,6.5,8.8,15.2,Huntington, IN,26540
