,State,GEOID,total,mtotal,ftotal,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65
0,Alabama,0400000US01,4817678,2336020,2481658,417207,401140,818347,396552,398283,794835,291576,308313,599889,316619,328298,644917,461008,499850,960858,299606,399655,699261,8.7,8.3,17.0,8.2,8.3,16.5,6.1,6.4,12.5,6.6,6.8,13.4,9.6,10.4,19.9,6.2,8.3,14.5
1,Alaska,0400000US02,728300,380119,348181,68782,64810,133592,76268,62749,139017,50833,46167,97000,50249,46400,96649,75712,69591,145303,30556,31685,62241,9.4,8.9,18.3,10.5,8.6,19.1,7.0,6.3,13.3,6.9,6.4,13.3,10.4,9.6,20.0,4.2,4.4,8.5
2,Arizona,0400000US04,6561516,3258791,3302725,602107,577769,1179876,567275,531143,1098418,426434,414683,841117,419721,415971,835692,572305,619005,1191310,446251,528236,974487,9.2,8.8,18.0,8.6,8.1,16.7,6.5,6.3,12.8,6.4,6.3,12.7,8.7,9.4,18.2,6.8,8.1,14.9
3,Arkansas,0400000US05,2947036,1447235,1499801,263649,252211,515860,242063,237423,479486,186657,185407,372064,186413,191888,378301,274235,291218,565453,194499,247676,442175,8.9,8.6,17.5,8.2,8.1,16.3,6.3,6.3,12.6,6.3,6.5,12.8,9.3,9.9,19.2,6.6,8.4,15.0
4,California,0400000US06,38066920,18911519,19155401,3420639,3270350,6690989,3515320,3288833,6804153,2655014,2599109,5254123,2626669,2619824,5246493,3379343,3552613,6931956,2026406,2591501,4617907,9.0,8.6,17.6,9.2,8.6,17.9,7.0,6.8,13.8,6.9,6.9,13.8,8.9,9.3,18.2,5.3,6.8,12.1
5,Colorado,0400000US08,5197580,2608270,2589310,459112,438150,897262,465925,429148,895073,377442,356979,734421,358650,347920,706570,497793,514681,1012474,275930,338415,614345,8.8,8.4,17.3,9.0,8.3,17.2,7.3,6.9,14.1,6.9,6.7,13.6,9.6,9.9,19.5,5.3,6.5,11.8
6,Delaware,0400000US10,917060,443923,473137,75491,73076,148567,76003,75937,151940,54691,57576,112267,59298,62674,121972,87688,97595,185283,62234,78848,141082,8.2,8.0,16.2,8.3,8.3,16.6,6.0,6.3,12.2,6.5,6.8,13.3,9.6,10.6,20.2,6.8,8.6,15.4
7,District of Columbia,0400000US11,633736,300030,333706,34844,34599,69443,72508,86084,158592,53637,57673,111310,40368,38244,78612,50062,55448,105510,28952,42771,71723,5.5,5.5,11.0,11.4,13.6,25.0,8.5,9.1,17.6,6.4,6.0,12.4,7.9,8.7,16.6,4.6,6.7,11.3
8,Connecticut,0400000US09,3592053,1750621,1841432,307601,293146,600747,287485,273536,561021,207715,216785,424500,257346,268685,526031,365296,389041,754337,226068,305011,531079,8.6,8.2,16.7,8.0,7.6,15.6,5.8,6.0,11.8,7.2,7.5,14.6,10.2,10.8,21.0,6.3,8.5,14.8
9,Florida,0400000US12,19361792,9464651,9897141,1506101,1438040,2944141,1537521,1474079,3011600,1162628,1169012,2331640,1294065,1324518,2618583,1842249,2018183,3860432,1572084,1946476,3518560,7.8,7.4,15.2,7.9,7.6,15.6,6.0,6.0,12.0,6.7,6.8,13.5,9.5,10.4,19.9,8.1,10.1,18.2
