,CBSA,GEOID,total,mtotal,ftotal,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,Area,ID,CBSAFIPS
0,"Big Stone Gap, VA Micro Area",310M500US13720,42456,22025,20431,3178,3011,6189,4003,2930,6933,2922,2415,5337,2910,2440,5350,4474,4502,8976,3378,4079,7457,7.5,7.1,14.6,9.4,6.9,16.3,6.9,5.7,12.6,6.9,5.7,12.6,10.5,10.6,21.1,8.0,9.6,17.6,Big Stone Gap, VA,Micro Area,13720,13720
1,"Billings, MT Metro Area",310M500US13740,179071,88433,90638,15607,15017,30624,13157,12700,25857,11581,11679,23260,10758,10629,21387,17699,18431,36130,14121,16881,31002,8.7,8.4,17.1,7.3,7.1,14.4,6.5,6.5,13.0,6.0,5.9,11.9,9.9,10.3,20.2,7.9,9.4,17.3,Billings, MT,Metro Area,13740,13740
2,"Binghamton, NY Metro Area",310M500US13780,241874,119221,122653,18265,17054,35319,23136,21739,44875,13199,12810,26009,12785,13180,25965,25300,26115,51415,20060,25651,45711,7.6,7.1,14.6,9.6,9.0,18.6,5.5,5.3,10.8,5.3,5.4,10.7,10.5,10.8,21.3,8.3,10.6,18.9,Binghamton, NY,Metro Area,13780,13780
3,"Birmingham-Hoover, AL Metro Area",310M500US13820,1085330,521496,563834,93631,89229,182860,83055,85114,168169,69809,74264,144073,67896,72697,140593,100957,112260,213217,72128,96652,168780,8.6,8.2,16.8,7.7,7.8,15.5,6.4,6.8,13.3,6.3,6.7,13.0,9.3,10.3,19.6,6.6,8.9,15.6,Birmingham-Hoover, AL,Metro Area,13820,13820
4,"Bismarck, ND Metro Area",310M500US13900,127503,64036,63467,10616,10027,20643,10569,10130,20699,9891,8522,18413,7432,6917,14349,12175,12522,24697,8971,11203,20174,8.3,7.9,16.2,8.3,7.9,16.2,7.8,6.7,14.4,5.8,5.4,11.3,9.5,9.8,19.4,7.0,8.8,15.8,Bismarck, ND,Metro Area,13900,13900
5,"Blackfoot, ID Micro Area",310M500US13940,45839,22914,22925,5466,5259,10725,3374,3222,6596,2695,2654,5349,2691,2892,5583,3973,3828,7801,2997,3298,6295,11.9,11.5,23.4,7.4,7.0,14.4,5.9,5.8,11.7,5.9,6.3,12.2,8.7,8.4,17.0,6.5,7.2,13.7,Blackfoot, ID,Micro Area,13940,13940
6,"Blacksburg-Christiansburg, VA Metro Area",310M500US13980,166785,84396,82389,9839,9484,19323,27100,23136,50236,8979,8491,17470,9575,9206,18781,14071,14798,28869,11109,13657,24766,5.9,5.7,11.6,16.2,13.9,30.1,5.4,5.1,10.5,5.7,5.5,11.3,8.4,8.9,17.3,6.7,8.2,14.8,Blacksburg-Christiansburg, VA,Metro Area,13980,13980
7,"Bloomington, IL Metro Area",310M500US14010,172578,83872,88706,13797,13273,27070,20056,21784,41840,10836,10952,21788,9936,9802,19738,14444,15468,29912,9704,12245,21949,8.0,7.7,15.7,11.6,12.6,24.2,6.3,6.3,12.6,5.8,5.7,11.4,8.4,9.0,17.3,5.6,7.1,12.7,Bloomington, IL,Metro Area,14010,14010
8,"Bloomington, IN Metro Area",310M500US14020,167296,83482,83814,10328,9658,19986,27291,26230,53521,10559,9343,19902,7993,8259,16252,13480,14200,27680,10019,12394,22413,6.2,5.8,11.9,16.3,15.7,32.0,6.3,5.6,11.9,4.8,4.9,9.7,8.1,8.5,16.5,6.0,7.4,13.4,Bloomington, IN,Metro Area,14020,14020
9,"Bloomsburg-Berwick, PA Metro Area",310M500US14100,83974,40284,43690,5775,5536,11311,7716,8585,16301,4686,4461,9147,4668,4674,9342,8488,9182,17670,6965,9246,16211,6.9,6.6,13.5,9.2,10.2,19.4,5.6,5.3,10.9,5.6,5.6,11.1,10.1,10.9,21.0,8.3,11.0,19.3,Bloomsburg-Berwick, PA,Metro Area,14100,14100
