,NAME,GEOID,total,mtotal,StateFIPS,ftotal,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,County,State,CountyFIPS
0,"Fayette County, Illinois",0500000US17051,21565,11469,17,10096,1674,1595,3269,1886,1327,3213,1518,1160,2678,1471,1162,2633,2435,2094,4529,1864,2194,4058,7.8,7.4,15.2,8.7,6.2,14.9,7.0,5.4,12.4,6.8,5.4,12.2,11.3,9.7,21.0,8.6,10.2,18.8,Fayette County, Illinois,17051
1,"Logan County, Illinois",0500000US17107,29003,14298,17,14705,2049,2005,4054,2417,2588,5005,1963,1879,3842,1878,1632,3510,2915,2900,5815,2248,2976,5224,7.1,6.9,14.0,8.3,8.9,17.3,6.8,6.5,13.2,6.5,5.6,12.1,10.1,10.0,20.0,7.8,10.3,18.0,Logan County, Illinois,17107
2,"Saline County, Illinois",0500000US17165,23994,11807,17,12187,1961,1737,3698,1672,1588,3260,1611,1503,3114,1216,1327,2543,2446,2650,5096,2103,2682,4785,8.2,7.2,15.4,7.0,6.6,13.6,6.7,6.3,13.0,5.1,5.5,10.6,10.2,11.0,21.2,8.8,11.2,19.9,Saline County, Illinois,17165
3,"Lake County, Illinois",0500000US17097,701473,350466,17,351007,66937,63906,130843,60125,50870,110995,41067,40875,81942,46432,48075,94507,71648,74496,146144,43532,52807,96339,9.5,9.1,18.7,8.6,7.3,15.8,5.9,5.8,11.7,6.6,6.9,13.5,10.2,10.6,20.8,6.2,7.5,13.7,Lake County, Illinois,17097
4,"Massac County, Illinois",0500000US17127,14219,6714,17,7505,1107,1306,2413,899,860,1759,705,814,1519,913,887,1800,1434,1541,2975,1268,1694,2962,7.8,9.2,17.0,6.3,6.0,12.4,5.0,5.7,10.7,6.4,6.2,12.7,10.1,10.8,20.9,8.9,11.9,20.8,Massac County, Illinois,17127
5,"Cass County, Illinois",0500000US17017,12493,6236,17,6257,1220,1013,2233,863,847,1710,756,738,1494,765,797,1562,1283,1245,2528,972,1184,2156,9.8,8.1,17.9,6.9,6.8,13.7,6.1,5.9,12.0,6.1,6.4,12.5,10.3,10.0,20.2,7.8,9.5,17.3,Cass County, Illinois,17017
6,"Huntington County, Indiana",0500000US18069,36359,17919,18,18440,2958,2835,5793,2943,2817,5760,2284,2023,4307,2193,2277,4470,3884,3979,7863,2661,3467,6128,8.1,7.8,15.9,8.1,7.7,15.8,6.3,5.6,11.8,6.0,6.3,12.3,10.7,10.9,21.6,7.3,9.5,16.9,Huntington County, Indiana,18069
7,"White County, Indiana",0500000US18181,24149,12063,18,12086,2124,2036,4160,1688,1519,3207,1293,1275,2568,1474,1338,2812,2536,2665,5201,2176,2535,4711,8.8,8.4,17.2,7.0,6.3,13.3,5.4,5.3,10.6,6.1,5.5,11.6,10.5,11.0,21.5,9.0,10.5,19.5,White County, Indiana,18181
8,"Jay County, Indiana",0500000US18075,20840,10452,18,10388,2008,1812,3820,1611,1441,3052,1097,1059,2156,1215,1305,2520,2145,2073,4218,1591,2024,3615,9.6,8.7,18.3,7.7,6.9,14.6,5.3,5.1,10.3,5.8,6.3,12.1,10.3,9.9,20.2,7.6,9.7,17.3,Jay County, Indiana,18075
9,"Shelby County, Indiana",0500000US18145,44438,21874,18,22564,3833,3767,7600,3134,2994,6128,2630,2779,5409,2775,2722,5497,4880,4990,9870,3326,4074,7400,8.6,8.5,17.1,7.1,6.7,13.8,5.9,6.3,12.2,6.2,6.1,12.4,11.0,11.2,22.2,7.5,9.2,16.7,Shelby County, Indiana,18145
10,"Sullivan County, Indiana",0500000US18153,20730,11076,18,9654,1549,1470,3019,1875,1337,3212,1504,1258,2762,1746,1066,2812,2251,2039,4290,1600,1977,3577,7.5,7.1,14.6,9.0,6.4,15.5,7.3,6.1,13.3,8.4,5.1,13.6,10.9,9.8,20.7,7.7,9.5,17.3,Sullivan County, Indiana,18153
11,"Tippecanoe County, Indiana",0500000US18157,191553,97798,18,93755,14244,13900,28144,33960,27636,61596,11514,11244,22758,9582,9081,18663,13468,14286,27754,9273,12049,21322,7.4,7.3,14.7,17.7,14.4,32.2,6.0,5.9,11.9,5.0,4.7,9.7,7.0,7.5,14.5,4.8,6.3,11.1,Tippecanoe County, Indiana,18157
12,"Hamilton County, Indiana",0500000US18057,323117,157702,18,165415,34145,32871,67016,20710,20782,41492,21930,24373,46303,23923,24501,48424,29096,30890,59986,16990,21372,38362,10.6,10.2,20.7,6.4,6.4,12.8,6.8,7.5,14.3,7.4,7.6,15.0,9.0,9.6,18.6,5.3,6.6,11.9,Hamilton County, Indiana,18057
13,"Bartholomew County, Indiana",0500000US18005,82481,41170,18,41311,7111,7193,14304,6991,5986,12977,5731,5089,10820,5168,5378,10546,7525,7608,15133,5798,7436,13234,8.6,8.7,17.3,8.5,7.3,15.7,6.9,6.2,13.1,6.3,6.5,12.8,9.1,9.2,18.3,7.0,9.0,16.0,Bartholomew County, Indiana,18005
14,"Fulton County, Indiana",0500000US18049,20096,9903,18,10193,1773,1786,3559,1404,1275,2679,1107,1241,2348,1220,1074,2294,2116,2126,4242,1671,2128,3799,8.8,8.9,17.7,7.0,6.3,13.3,5.5,6.2,11.7,6.1,5.3,11.4,10.5,10.6,21.1,8.3,10.6,18.9,Fulton County, Indiana,18049
15,"Noble County, Indiana",0500000US18113,47506,23872,18,23634,4561,4297,8858,3549,3335,6884,2775,2899,5674,3097,2760,5857,4984,4886,9870,3263,3970,7233,9.6,9.0,18.6,7.5,7.0,14.5,5.8,6.1,11.9,6.5,5.8,12.3,10.5,10.3,20.8,6.9,8.4,15.2,Noble County, Indiana,18113
16,"Clark County, Indiana",0500000US18019,116507,56860,18,59647,9706,9386,19092,8641,8702,17343,8101,7816,15917,7671,7863,15534,11323,12007,23330,7636,10313,17949,8.3,8.1,16.4,7.4,7.5,14.9,7.0,6.7,13.7,6.6,6.7,13.3,9.7,10.3,20.0,6.6,8.9,15.4,Clark County, Indiana,18019
17,"Hendricks County, Indiana",0500000US18063,163799,81767,18,82032,16282,15432,31714,11892,10692,22584,11764,11183,22947,11757,11641,23398,15650,15980,31630,9549,12279,21828,9.9,9.4,19.4,7.3,6.5,13.8,7.2,6.8,14.0,7.2,7.1,14.3,9.6,9.8,19.3,5.8,7.5,13.3,Hendricks County, Indiana,18063
18,"Grant County, Indiana",0500000US18053,66452,31695,18,34757,5092,5018,10110,5823,6597,12420,3196,3605,6801,3611,3631,7242,6720,7056,13776,5401,7005,12406,7.7,7.6,15.2,8.8,9.9,18.7,4.8,5.4,10.2,5.4,5.5,10.9,10.1,10.6,20.7,8.1,10.5,18.7,Grant County, Indiana,18053
