CBSA,GEOID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,O*total,O*child,O*taxbase,O*O65,O*Pchild,O*Ptaxbase,O*PO65,O*homevalue,Name,State,Area,CBSAFIPS,O65percchange,taxbasepercchange,childpercchange,totalpercchange,O65sharechange,taxbasesharechange,childsharechange,O65realchange,taxbaserealchange,childrealchange,totalrealchange,homepercchange,homerealchange
"Big Stone Gap, VA Micro Area",310M500US13720,42456,8403,26596,7457,19.8,62.6,17.6,86200,60499,12375,38800,9324,20.5,64.1,15.4,82800,Big Stone Gap, VA, Micro,13720,-20.02,-31.45,-32.1,-29.82,2.200000000000001,-1.499999999999993,-0.6999999999999993,-1867,-12204,-3972,-18043,4.11,3400
"Billings, MT Metro Area",310M500US13740,179071,41435,106634,31002,23.1,59.5,17.3,227900,162892,37974,100276,24642,23.3,61.6,15.1,187100,Billings, MT, Metro,13740,25.81,6.34,9.11,9.93,2.200000000000001,-2.1000000000000014,-0.1999999999999993,6360,6358,3461,16179,21.81,40800
"Binghamton, NY Metro Area",310M500US13780,241874,47899,148264,45711,19.8,61.3,18.9,117600,249261,50798,156323,42140,20.4,62.7,16.9,108800,Binghamton, NY, Metro,13780,8.47,-5.16,-5.71,-2.96,2.0,-1.4000000000000057,-0.5999999999999979,3571,-8059,-2899,-7387,8.09,8800
"Birmingham-Hoover, AL Metro Area",310M500US13820,1085330,250498,666052,168780,23.1,61.4,15.6,165200,1135534,267614,712019,155901,23.6,62.7,13.7,144000,Birmingham-Hoover, AL, Metro,13820,8.26,-6.46,-6.4,-4.42,1.9000000000000004,-1.3000000000000043,-0.5,12879,-45967,-17116,-50204,14.72,21200
"Bismarck, ND Metro Area",310M500US13900,127503,29171,78158,20174,22.9,61.3,15.8,249000,120688,27966,75829,16893,23.2,62.8,14.0,171000,Bismarck, ND, Metro,13900,19.42,3.07,4.31,5.65,1.8000000000000007,-1.5,-0.3000000000000007,3281,2329,1205,6815,45.61,78000
"Blackfoot, ID Micro Area",310M500US13940,45839,14215,25329,6295,31.0,55.3,13.7,160100,45558,14702,25318,5538,32.3,55.6,12.2,136300,Blackfoot, ID, Micro,13940,13.67,0.04,-3.31,0.62,1.5,-0.30000000000000426,-1.2999999999999972,757,11,-487,281,17.46,23800
"Bloomington, IL Metro Area",310M500US14010,172578,37351,113278,21949,21.6,65.6,12.7,167000,188851,42164,125367,21320,22.3,66.4,11.3,154000,Bloomington, IL, Metro,14010,2.95,-9.64,-11.41,-8.62,1.3999999999999986,-0.8000000000000114,-0.6999999999999993,629,-12089,-4813,-16273,8.44,13000
"Bloomington, IN Metro Area",310M500US14020,167296,27528,117355,22413,16.5,70.1,13.4,166400,162422,27564,116376,18482,17.0,71.7,11.4,150800,Bloomington, IN, Metro,14020,21.27,0.84,-0.13,3.0,2.0,-1.6000000000000085,-0.5,3931,979,-36,4874,10.34,15600
"Bloomsburg-Berwick, PA Metro Area",310M500US14100,83974,15303,52460,16211,18.2,62.5,19.3,158300,85564,16042,54946,14576,18.7,64.2,17.0,142000,Bloomsburg-Berwick, PA, Metro,14100,11.22,-4.52,-4.61,-1.86,2.3000000000000007,-1.7000000000000028,-0.5,1635,-2486,-739,-1590,11.48,16300
"Bluefield, WV-VA Micro Area",310M500US14140,107910,21360,63400,23150,19.8,58.8,21.5,98800,106492,21703,65278,19511,20.4,61.3,18.3,86200,Bluefield, WV,-VA Mi,14140,18.65,-2.88,-1.58,1.33,3.1999999999999993,-2.5,-0.5999999999999979,3639,-1878,-343,1418,14.62,12600
"Blytheville, AR Micro Area",310M500US14180,42126,11094,24944,6088,26.3,59.2,14.5,84500,45385,12425,27174,5786,27.4,59.9,12.7,78000,Blytheville, AR, Micro,14180,5.22,-8.21,-10.71,-7.18,1.8000000000000007,-0.6999999999999957,-1.0999999999999979,302,-2230,-1331,-3259,8.33,6500
"Bogalusa, LA Micro Area",310M500US14220,46435,11181,27119,8135,24.1,58.4,17.5,101000,46723,11505,28110,7108,24.6,60.2,15.2,79200,Bogalusa, LA, Micro,14220,14.45,-3.53,-2.82,-0.62,2.3000000000000007,-1.8000000000000043,-0.5,1027,-991,-324,-288,27.53,21800
"Boise City, ID Metro Area",310M500US14260,710743,180886,429307,100550,25.5,60.4,14.1,239900,639616,173626,389534,76456,27.1,60.9,12.0,164400,Boise City, ID, Metro,14260,31.51,10.21,4.18,11.12,2.0999999999999996,-0.5,-1.6000000000000014,24094,39773,7260,71127,45.92,75500
"Boone, NC Micro Area",310M500US14380,54925,7152,39266,8507,13.0,71.5,15.5,238000,51903,6993,38074,6836,13.5,73.4,13.2,225600,Boone, NC, Micro,14380,24.44,3.13,2.27,5.82,2.3000000000000007,-1.9000000000000057,-0.5,1671,1192,159,3022,5.5,12400
"Borger, TX Micro Area",310M500US14420,21344,5486,12388,3470,25.7,58.0,16.3,78800,21947,5785,12918,3244,26.4,58.9,14.8,68200,Borger, TX, Micro,14420,6.97,-4.1,-5.17,-2.75,1.5,-0.8999999999999986,-0.6999999999999993,226,-530,-299,-603,15.54,10600
"Boston-Cambridge-Newton, MA-NH Metro Area",310M500US14460,4832346,965636,3123890,742820,20.0,64.6,15.4,437500,4650876,978345,3036075,636456,21.0,65.3,13.7,363600,Boston-Cambridge-Newton, MA,-NH Me,14460,16.71,2.89,-1.3,3.9,1.700000000000001,-0.7000000000000028,-1.0,106364,87815,-12709,181470,20.32,73900
"Boulder, CO Metro Area",310M500US14500,322510,62446,215970,44094,19.4,67.0,13.7,497300,305166,63207,208166,33793,20.7,68.2,11.1,358000,Boulder, CO, Metro,14500,30.48,3.75,-1.2,5.68,2.5999999999999996,-1.2000000000000028,-1.3000000000000007,10301,7804,-761,17344,38.91,139300
"Bowling Green, KY Metro Area",310M500US14540,174498,39356,110478,24664,22.6,63.3,14.1,151000,162322,36777,104730,20815,22.7,64.5,12.8,124300,Bowling Green, KY, Metro,14540,18.49,5.49,7.01,7.5,1.299999999999999,-1.2000000000000028,-0.09999999999999787,3849,5748,2579,12176,21.48,26700
"Bozeman, MT Micro Area",310M500US14580,108063,21648,73200,13215,20.0,67.7,12.2,357100,93108,19287,64196,9625,20.7,68.9,10.3,263200,Bozeman, MT, Micro,14580,37.3,14.03,12.24,16.06,1.8999999999999986,-1.2000000000000028,-0.6999999999999993,3590,9004,2361,14955,35.68,93900
"Bradford, PA Micro Area",310M500US14620,41401,8202,25316,7883,19.8,61.1,19.0,80400,43024,8830,26657,7537,20.5,62.0,17.5,74700,Bradford, PA, Micro,14620,4.59,-5.03,-7.11,-3.77,1.5,-0.8999999999999986,-0.6999999999999993,346,-1341,-628,-1623,7.63,5700
"Brainerd, MN Micro Area",310M500US14660,93485,20156,51790,21539,21.6,55.4,23.0,197200,91399,20257,52370,18772,22.2,57.3,20.5,175800,Brainerd, MN, Micro,14660,14.74,-1.11,-0.5,2.28,2.5,-1.8999999999999986,-0.5999999999999979,2767,-580,-101,2086,12.17,21400
"Branson, MO Micro Area",310M500US14700,55114,11708,31677,11729,21.2,57.5,21.3,139800,84679,17320,49302,18057,20.5,58.2,21.3,133800,Branson, MO, Micro,14700,-35.04,-35.75,-32.4,-34.91,0.0,-0.7000000000000028,0.6999999999999993,-6328,-17625,-5612,-29565,4.48,6000
"Breckenridge, CO Micro Area",310M500US14720,30649,4977,21758,3914,16.2,71.0,12.8,579600,28482,4783,20997,2702,16.8,73.7,9.5,461100,Breckenridge, CO, Micro,14720,44.86,3.62,4.06,7.61,3.3000000000000007,-2.700000000000003,-0.6000000000000014,1212,761,194,2167,25.7,118500
"Brenham, TX Micro Area",310M500US14780,35163,7701,20086,7376,21.9,57.1,21.0,179100,34039,7379,20078,6582,21.7,59.0,19.3,141700,Brenham, TX, Micro,14780,12.06,0.04,4.36,3.3,1.6999999999999993,-1.8999999999999986,0.1999999999999993,794,8,322,1124,26.39,37400
"Brevard, NC Micro Area",310M500US14820,33775,5406,18257,10112,16.0,54.1,29.9,221900,32943,5698,18300,8945,17.3,55.6,27.2,181300,Brevard, NC, Micro,14820,13.05,-0.23,-5.12,2.53,2.6999999999999993,-1.5,-1.3000000000000007,1167,-43,-292,832,22.39,40600
"Bridgeport-Stamford-Norwalk, CT Metro Area",310M500US14860,943926,214502,582803,146621,22.7,61.7,15.5,428500,934215,225315,578625,130275,24.1,61.9,13.9,422400,Bridgeport-Stamford-Norwalk, CT, Metro,14860,12.55,0.72,-4.8,1.04,1.5999999999999996,-0.19999999999999574,-1.4000000000000021,16346,4178,-10813,9711,1.44,6100
"Brookhaven, MS Micro Area",310M500US15020,34320,8215,20369,5736,23.9,59.4,16.7,99500,34824,8862,20825,5137,25.4,59.8,14.8,84200,Brookhaven, MS, Micro,15020,11.66,-2.19,-7.3,-1.45,1.8999999999999986,-0.3999999999999986,-1.5,599,-456,-647,-504,18.17,15300
"Brookings, OR Micro Area",310M500US15060,22650,3299,11728,7623,14.6,51.8,33.7,265400,22341,3500,12240,6601,15.7,54.8,29.5,211300,Brookings, OR, Micro,15060,15.48,-4.18,-5.74,1.38,4.200000000000003,-3.0,-1.0999999999999996,1022,-512,-201,309,25.6,54100
"Brookings, SD Micro Area",310M500US15100,34601,7058,23492,4051,20.4,67.9,11.7,179000,32647,6187,23199,3261,19.0,71.1,10.0,152000,Brookings, SD, Micro,15100,24.23,1.26,14.08,5.99,1.6999999999999993,-3.1999999999999886,1.3999999999999986,790,293,871,1954,17.76,27000
"Brownsville-Harlingen, TX Metro Area",310M500US15180,421666,129734,236467,55465,30.8,56.1,13.2,85800,415103,133880,232705,48518,32.3,56.1,11.7,77400,Brownsville-Harlingen, TX, Metro,15180,14.32,1.62,-3.1,1.58,1.5,0.0,-1.4999999999999964,6947,3762,-4146,6563,10.85,8400
"Brownwood, TX Micro Area",310M500US15220,37855,8387,22080,7388,22.2,58.3,19.5,102500,37903,8885,22106,6912,23.4,58.3,18.2,86500,Brownwood, TX, Micro,15220,6.89,-0.12,-5.6,-0.13,1.3000000000000007,0.0,-1.1999999999999993,476,-26,-498,-48,18.5,16000
"Brunswick, GA Metro Area",310M500US15260,117400,25547,68594,23259,21.8,58.4,19.8,155300,113572,26549,68712,18311,23.4,60.5,16.1,130900,Brunswick, GA, Metro,15260,27.02,-0.17,-3.77,3.37,3.6999999999999993,-2.1000000000000014,-1.5999999999999979,4948,-118,-1002,3828,18.64,24400
"Burley, ID Micro Area",310M500US15420,44395,13514,24346,6535,30.4,54.8,14.7,154900,43466,13376,24030,6060,30.8,55.3,13.9,116700,Burley, ID, Micro,15420,7.84,1.32,1.03,2.14,0.7999999999999989,-0.5,-0.40000000000000213,475,316,138,929,32.73,38200
"Burlington, IA-IL Micro Area",310M500US15460,46195,10187,26339,9669,22.1,57.0,20.9,104100,47339,10664,27808,8867,22.5,58.7,18.7,93100,Burlington, IA,-IL Mi,15460,9.04,-5.28,-4.47,-2.42,2.1999999999999993,-1.7000000000000028,-0.3999999999999986,802,-1469,-477,-1144,11.82,11000
"Burlington, NC Metro Area",310M500US15500,163324,36538,99621,27165,22.4,61.0,16.6,154800,153713,35485,94825,23403,23.1,61.7,15.2,135800,Burlington, NC, Metro,15500,16.07,5.06,2.97,6.25,1.4000000000000021,-0.7000000000000028,-0.7000000000000028,3762,4796,1053,9611,13.99,19000
