County,GEOID,StateFIPS,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,O*total,O*child,O*taxbase,O*O65,O*Pchild,O*Ptaxbase,O*PO65,O*homevalue,CountyOnly,State,CountyFIPS,O65percchange,taxbasepercchange,childpercchange,totalpercchange,homepercchange,O65sharechange,taxbasesharechange,childsharechange,O65realchange,taxbaserealchange,childrealchange,totalrealchange,homerealchange
"Fayette County, Illinois",0500000US17051,17,21565,4454,13053,4058,20.7,60.5,18.8,88300,22041,4889,13509,3643,22.2,61.3,16.5,81700,Fayette County, Illinois,17051,11.39,-3.38,-8.9,-2.16,8.08,2.3000000000000007,-0.7999999999999972,-1.5,415,-456,-435,-476,6600
"Logan County, Illinois",0500000US17107,17,29003,5607,18172,5224,19.3,62.7,18.0,103200,30047,5723,19411,4913,19.0,64.6,16.4,97500,Logan County, Illinois,17107,6.33,-6.38,-2.03,-3.47,5.85,1.6000000000000014,-1.8999999999999915,0.3000000000000007,311,-1239,-116,-1044,5700
"Saline County, Illinois",0500000US17165,17,23994,5196,14013,4785,21.7,58.4,19.9,73800,24876,5592,14616,4668,22.5,58.8,18.8,71100,Saline County, Illinois,17165,2.51,-4.13,-7.08,-3.55,3.8,1.0999999999999979,-0.3999999999999986,-0.8000000000000007,117,-603,-396,-882,2700
"Lake County, Illinois",0500000US17097,17,701473,171546,433588,96339,24.5,61.8,13.7,265100,703170,185117,438654,79399,26.3,62.4,11.3,247300,Lake County, Illinois,17097,21.34,-1.15,-7.33,-0.24,7.2,2.3999999999999986,-0.6000000000000014,-1.8000000000000007,16940,-5066,-13571,-1697,17800
"Massac County, Illinois",0500000US17127,17,14219,3204,8053,2962,22.5,56.6,20.8,83600,15148,3386,8875,2887,22.4,58.6,19.1,83200,Massac County, Illinois,17127,2.6,-9.26,-5.38,-6.13,0.48,1.6999999999999993,-2.0,0.10000000000000142,75,-822,-182,-929,400
"Cass County, Illinois",0500000US17017,17,12493,3043,7294,2156,24.4,58.4,17.3,80800,13440,3335,8005,2100,24.8,59.6,15.6,75700,Cass County, Illinois,17017,2.67,-8.88,-8.76,-7.05,6.74,1.700000000000001,-1.2000000000000028,-0.40000000000000213,56,-711,-292,-947,5100
"Huntington County, Indiana",0500000US18069,18,36359,7831,22400,6128,21.5,61.6,16.9,107200,36959,8449,22884,5626,22.9,61.9,15.2,97100,Huntington County, Indiana,18069,8.92,-2.12,-7.31,-1.62,10.4,1.6999999999999993,-0.29999999999999716,-1.3999999999999986,502,-484,-618,-600,10100
"White County, Indiana",0500000US18181,18,24149,5650,13788,4711,23.4,57.1,19.5,113500,24485,5805,14321,4359,23.7,58.5,17.8,106400,White County, Indiana,18181,8.08,-3.72,-2.67,-1.37,6.67,1.6999999999999993,-1.3999999999999986,-0.3000000000000007,352,-533,-155,-336,7100
"Jay County, Indiana",0500000US18075,18,20840,5279,11946,3615,25.3,57.3,17.3,91400,21279,5593,12252,3434,26.3,57.6,16.1,80000,Jay County, Indiana,18075,5.27,-2.5,-5.61,-2.06,14.25,1.1999999999999993,-0.30000000000000426,-1.0,181,-306,-314,-439,11400
"Shelby County, Indiana",0500000US18145,18,44438,10134,26904,7400,22.8,60.5,16.7,133200,44428,10622,27245,6561,23.9,61.3,14.8,122600,Shelby County, Indiana,18145,12.79,-1.25,-4.59,0.02,8.65,1.8999999999999986,-0.7999999999999972,-1.0999999999999979,839,-341,-488,10,10600
