CBSA,GEOID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,Name,State,CBSAFIPS
"Big Stone Gap, VA Micro Area",310M500US13720,42456,8403,26596,7457,19.8,62.6,17.6,86200,Big Stone Gap, VA,13720
"Billings, MT Metro Area",310M500US13740,179071,41435,106634,31002,23.1,59.5,17.3,227900,Billings, MT,13740
"Binghamton, NY Metro Area",310M500US13780,241874,47899,148264,45711,19.8,61.3,18.9,117600,Binghamton, NY,13780
"Birmingham-Hoover, AL Metro Area",310M500US13820,1085330,250498,666052,168780,23.1,61.4,15.6,165200,Birmingham-Hoover, AL,13820
"Bismarck, ND Metro Area",310M500US13900,127503,29171,78158,20174,22.9,61.3,15.8,249000,Bismarck, ND,13900
"Blackfoot, ID Micro Area",310M500US13940,45839,14215,25329,6295,31.0,55.3,13.7,160100,Blackfoot, ID,13940
"Blacksburg-Christiansburg, VA Metro Area",310M500US13980,166785,26663,115356,24766,16.0,69.2,14.8,182600,Blacksburg-Christiansburg, VA,13980
"Bloomington, IL Metro Area",310M500US14010,172578,37351,113278,21949,21.6,65.6,12.7,167000,Bloomington, IL,14010
"Bloomington, IN Metro Area",310M500US14020,167296,27528,117355,22413,16.5,70.1,13.4,166400,Bloomington, IN,14020
"Bloomsburg-Berwick, PA Metro Area",310M500US14100,83974,15303,52460,16211,18.2,62.5,19.3,158300,Bloomsburg-Berwick, PA,14100
"Bluefield, WV-VA Micro Area",310M500US14140,107910,21360,63400,23150,19.8,58.8,21.5,98800,Bluefield, WV,14140
"Blytheville, AR Micro Area",310M500US14180,42126,11094,24944,6088,26.3,59.2,14.5,84500,Blytheville, AR,14180
"Bogalusa, LA Micro Area",310M500US14220,46435,11181,27119,8135,24.1,58.4,17.5,101000,Bogalusa, LA,14220
"Boise City, ID Metro Area",310M500US14260,710743,180886,429307,100550,25.5,60.4,14.1,239900,Boise City, ID,14260
"Bonham, TX Micro Area",310M500US14300,34537,7318,20821,6398,21.2,60.3,18.5,123100,Bonham, TX,14300
"Boone, NC Micro Area",310M500US14380,54925,7152,39266,8507,13.0,71.5,15.5,238000,Boone, NC,14380
"Borger, TX Micro Area",310M500US14420,21344,5486,12388,3470,25.7,58.0,16.3,78800,Borger, TX,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",310M500US14460,4832346,965636,3123890,742820,20.0,64.6,15.4,437500,Boston-Cambridge-Newton, MA,14460
"Boulder, CO Metro Area",310M500US14500,322510,62446,215970,44094,19.4,67.0,13.7,497300,Boulder, CO,14500
"Bowling Green, KY Metro Area",310M500US14540,174498,39356,110478,24664,22.6,63.3,14.1,151000,Bowling Green, KY,14540
"Bozeman, MT Micro Area",310M500US14580,108063,21648,73200,13215,20.0,67.7,12.2,357100,Bozeman, MT,14580
"Bradford, PA Micro Area",310M500US14620,41401,8202,25316,7883,19.8,61.1,19.0,80400,Bradford, PA,14620
"Brainerd, MN Micro Area",310M500US14660,93485,20156,51790,21539,21.6,55.4,23.0,197200,Brainerd, MN,14660
"Branson, MO Micro Area",310M500US14700,55114,11708,31677,11729,21.2,57.5,21.3,139800,Branson, MO,14700
"Breckenridge, CO Micro Area",310M500US14720,30649,4977,21758,3914,16.2,71.0,12.8,579600,Breckenridge, CO,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",310M500US14740,265882,54650,165088,46144,20.6,62.1,17.4,329900,Bremerton-Silverdale-Port Orchard, WA,14740
"Brenham, TX Micro Area",310M500US14780,35163,7701,20086,7376,21.9,57.1,21.0,179100,Brenham, TX,14780
"Brevard, NC Micro Area",310M500US14820,33775,5406,18257,10112,16.0,54.1,29.9,221900,Brevard, NC,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",310M500US14860,943926,214502,582803,146621,22.7,61.7,15.5,428500,Bridgeport-Stamford-Norwalk, CT,14860
"Brookhaven, MS Micro Area",310M500US15020,34320,8215,20369,5736,23.9,59.4,16.7,99500,Brookhaven, MS,15020
"Brookings, OR Micro Area",310M500US15060,22650,3299,11728,7623,14.6,51.8,33.7,265400,Brookings, OR,15060
