CBSA,GEOID,CBSAFIPS,total,U5,school,18_20s,30s,40s,50_65,O65,PU5,Pschool,P18_20s,P30s,P40s,P50_65,PO65
"Big Stone Gap, VA Micro Area",310M500US13720,13720,42456,2214,6189,6933,5337,5350,8976,7457,5.2,14.6,16.3,12.6,12.6,21.1,17.6
"Billings, MT Metro Area",310M500US13740,13740,179071,10811,30624,25857,23260,21387,36130,31002,6.0,17.1,14.4,13.0,11.9,20.2,17.3
"Binghamton, NY Metro Area",310M500US13780,13780,241874,12580,35319,44875,26009,25965,51415,45711,5.2,14.6,18.6,10.8,10.7,21.3,18.9
"Birmingham-Hoover, AL Metro Area",310M500US13820,13820,1085330,67638,182860,168169,144073,140593,213217,168780,6.2,16.8,15.5,13.3,13.0,19.6,15.6
"Bismarck, ND Metro Area",310M500US13900,13900,127503,8528,20643,20699,18413,14349,24697,20174,6.7,16.2,16.2,14.4,11.3,19.4,15.8
"Blackfoot, ID Micro Area",310M500US13940,13940,45839,3490,10725,6596,5349,5583,7801,6295,7.6,23.4,14.4,11.7,12.2,17.0,13.7
"Blacksburg-Christiansburg, VA Metro Area",310M500US13980,13980,166785,7340,19323,50236,17470,18781,28869,24766,4.4,11.6,30.1,10.5,11.3,17.3,14.8
"Bloomington, IL Metro Area",310M500US14010,14010,172578,10281,27070,41840,21788,19738,29912,21949,6.0,15.7,24.2,12.6,11.4,17.3,12.7
"Bloomington, IN Metro Area",310M500US14020,14020,167296,7542,19986,53521,19902,16252,27680,22413,4.5,11.9,32.0,11.9,9.7,16.5,13.4
"Bloomsburg-Berwick, PA Metro Area",310M500US14100,14100,83974,3992,11311,16301,9147,9342,17670,16211,4.8,13.5,19.4,10.9,11.1,21.0,19.3
"Bluefield, WV-VA Micro Area",310M500US14140,14140,107910,5895,15465,15039,11897,13631,22833,23150,5.5,14.3,13.9,11.0,12.6,21.2,21.5
"Blytheville, AR Micro Area",310M500US14180,14180,42126,3037,8057,6742,4899,5100,8203,6088,7.2,19.1,16.0,11.6,12.1,19.5,14.5
