NAME,CBSA,GEOID,year,geoyearID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,State,MetroMicro,CBSAFIPS,popdensity,O65popdensity,tbpopdensity,childpopdensity
"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",310M100US12020,2010,310M100US120202010,192738,40837,132080,19821,21.2,68.5,10.3,160200, GA, Metro,12020,188.0477566068067,19.338659650424493,128.8658577583405,39.84323919804172
"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",310M100US12020,2011,310M100US120202011,193317,39216,133321,20780,20.3,69.0,10.7,163600, GA, Metro,12020,188.61266674946327,20.27432256373649,130.07665825408625,38.26168593164053
"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",310M100US12020,2012,310M100US120202012,194337,39979,131774,22584,20.6,67.8,11.6,159500, GA, Metro,12020,189.60784523911732,22.034422559163854,128.56730421144428,39.00611846850919
"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",310M200US12020,2013,310M200US120202013,197357,39358,135387,22612,19.9,68.6,11.5,154500, GA, Metro,12020,192.5543541006421,22.061741184370042,132.09238252822868,38.40023038804335
"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",310M200US12020,2014,310M200US120202014,197268,39567,134509,23192,20.1,68.2,11.8,153200, GA, Metro,12020,192.46751989909382,22.627626992212544,131.23574849497746,38.60414441190383
"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",310M200US12020,2015,310M200US120202015,201813,39872,137509,24432,19.8,68.1,12.1,158600, GA, Metro,12020,196.90191816917,23.837451822772373,134.1627440527835,38.901722293614114
"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",310M300US12020,2016,310M300US120202016,206360,41718,138596,26046,20.2,67.2,12.6,172300, GA, Metro,12020,201.338267769618,25.412175432872022,135.2232921098952,40.70280022685076
"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",310M300US12020,2017,310M300US120202017,206937,41076,138914,26947,19.8,67.1,13.0,181600, GA, Metro,12020,201.90122658190268,26.29124976539977,135.53355363902264,40.07642317748027
"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",310M400US12020,2018,310M400US120202018,211802,42800,140624,28378,20.2,66.4,13.4,200500, GA, Metro,12020,206.64783771147816,27.68742664647325,137.2019411069721,41.758469958032805
"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",310M500US12020,2019,310M500US120202019,212706,42625,142087,27994,20.0,66.8,13.2,204300, GA, Metro,12020,207.5298390395637,27.312771215074076,138.6293392739955,41.58772855049412
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Marietta, GA Metro Area",310M100US12060,2010,310M100US120602010,5288302,1399390,3416752,472160,26.5,64.6,8.9,175900, GA, Metro,12060,608.8798946827533,54.36314549989936,393.3950061696716,161.1217430131823
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Marietta, GA Metro Area",310M100US12060,2011,310M100US120602011,5365726,1403024,3467036,495666,26.1,64.6,9.2,166100, GA, Metro,12060,617.7942715405646,57.06955878802337,399.1845614227996,161.5401513297416
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Marietta, GA Metro Area",310M100US12060,2012,310M100US120602012,5442113,1408324,3496732,537057,25.9,64.3,9.9,160800, GA, Metro,12060,626.5892511985213,61.83519957798087,402.60367352201393,162.1503780985265
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",310M200US12060,2013,310M200US120602013,5524693,1416335,3536126,572232,25.6,64.0,10.4,160800, GA, Metro,12060,636.0972750789467,65.8851479915673,407.1393854709783,163.07274161640115
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",310M200US12060,2014,310M200US120602014,5611829,1426131,3580848,604850,25.4,63.8,10.8,170300, GA, Metro,12060,646.1298637062748,69.64069077349654,412.28854802826083,164.20062490451747
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",310M200US12060,2015,310M200US120602015,5709731,1439721,3633319,636691,25.2,63.6,11.2,186300, GA, Metro,12060,657.4020186341195,73.30677200837941,418.32990817635726,165.76533844938285
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",310M300US12060,2016,310M300US120602016,5790210,1447930,3673204,669076,25.0,63.4,11.6,197700, GA, Metro,12060,666.6681394124286,77.03548783990738,422.9221524542789,166.7104991182423
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",310M300US12060,2017,310M300US120602017,5882450,1456176,3728993,697281,24.8,63.4,11.9,215100, GA, Metro,12060,677.2883879318091,80.28293048397857,429.34553758705994,167.6599198607706
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",310M400US12060,2018,310M400US120602018,5950828,1450740,3768211,731877,24.4,63.3,12.3,233700, GA, Metro,12060,685.1612343461435,84.2662145015034,433.86098540181564,167.03403444282446
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",310M500US12060,2019,310M500US120602019,6018744,1450990,3804640,763114,24.1,63.2,12.7,247200, GA, Metro,12060,692.98088740818,87.86275291217002,438.0553157716391,167.0628187243709
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",310M100US12100,2010,310M100US121002010,274685,63903,171800,38982,23.3,62.5,14.2,238400, NJ, Metro,12100,494.4720655074111,70.17314399260935,309.2644332751087,115.03448823969308
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",310M100US12100,2011,310M100US121002011,274338,63026,171375,39937,23.0,62.5,14.6,233000, NJ, Metro,12100,493.8474161573153,71.89227981203734,308.49937283190775,113.4557635133702
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",310M100US12100,2012,310M100US121002012,275422,62910,171099,41413,22.8,62.1,15.0,226800, NJ, Metro,12100,495.7987703230325,74.54928972771872,308.002533579382,113.24694701593182
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",310M200US12100,2013,310M200US121002013,275862,61756,171730,42376,22.4,62.3,15.4,218600, NJ, Metro,12100,496.59083289952287,76.28282668490108,309.1384233197579,111.16958289486386
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",310M200US12100,2014,310M200US121002014,275209,60831,170943,43435,22.1,62.1,15.8,217000, NJ, Metro,12100,495.4153400303224,78.18917729513589,307.72171139317174,109.50445134201476
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",310M200US12100,2015,310M200US121002015,274219,60132,169433,44654,21.9,61.8,16.3,223400, NJ, Metro,12100,493.63319923321905,80.38355066045811,305.0034966420343,108.24615193072663
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",310M300US12100,2016,310M300US121002016,270991,58962,166239,45790,21.8,61.3,16.9,215100, NJ, Metro,12100,487.8223401493305,82.42851222157873,299.2538423936018,106.13998553414993
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",310M300US12100,2017,310M300US121002017,269918,58004,165306,46608,21.5,61.2,17.3,211600, NJ, Metro,12100,485.8907875480255,83.90102855696313,297.57430970299833,104.41544928806405
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",310M400US12100,2018,310M400US121002018,265429,56422,161449,47558,21.3,60.8,17.9,219300, NJ, Metro,12100,477.8099491256043,85.61116366529464,290.6311611631724,101.56762429713727
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",310M500US12100,2019,310M500US121002019,263670,55495,159060,49115,21.0,60.3,18.6,214900, NJ, Metro,12100,474.64349896186206,88.41398510073901,286.3306214012735,99.89889245984958
"Auburn, NY","Auburn, NY Micro Area",310M100US12180,2010,310M100US121802010,79978,17173,50648,12157,21.5,63.3,15.2,102400, NY, Micro,12180,115.64555863085003,17.578622324579808,73.23534288848549,24.831593417784735
"Auburn, NY","Auburn, NY Micro Area",310M100US12180,2011,310M100US121802011,79738,16855,50468,12415,21.1,63.3,15.6,102300, NY, Micro,12180,115.2985265211273,17.951681842531734,72.97506880619345,24.371775872402125
"Auburn, NY","Auburn, NY Micro Area",310M100US12180,2012,310M100US121802012,79552,16793,49698,13061,21.1,62.5,16.4,108600, NY, Micro,12180,115.02957663609219,18.8857766045354,71.86167412083304,24.282125910723757
"Auburn, NY","Auburn, NY Micro Area",310M200US12180,2013,310M200US121802013,79477,16364,49176,13937,20.6,61.9,17.5,119800, NY, Micro,12180,114.92112910180384,20.152443805023342,71.10687928218611,23.661806014594386
"Auburn, NY","Auburn, NY Micro Area",310M200US12180,2014,310M200US121802014,78823,16071,49606,13146,20.4,62.9,16.7,111700, NY, Micro,12180,113.97546660280942,19.008683810062198,71.72864514543933,23.238137647307894
"Auburn, NY","Auburn, NY Micro Area",310M200US12180,2015,310M200US121802015,78288,16141,48861,13286,20.6,62.4,17.0,122600, NY, Micro,12180,113.20187419155252,19.211119207400454,70.65139963817504,23.339355345977022
"Auburn, NY","Auburn, NY Micro Area",310M300US12180,2016,310M300US121802016,77861,15432,48839,13590,19.8,62.7,17.5,127000, NY, Micro,12180,112.58444622967083,19.650693213049237,70.61958836145045,22.314164655171144
"Auburn, NY","Auburn, NY Micro Area",310M300US12180,2017,310M300US121802017,77603,15402,47842,14359,19.8,61.6,18.5,120900, NY, Micro,12180,112.2113867117189,20.7626419312858,69.1779591389773,22.270785641455802
"Auburn, NY","Auburn, NY Micro Area",310M400US12180,2018,310M400US121802018,77145,15264,47559,14322,19.8,61.6,18.6,137500, NY, Micro,12180,111.54913376899805,20.709141147703544,68.76875044292926,22.071242178365235
"Auburn, NY","Auburn, NY Micro Area",310M500US12180,2019,310M500US121802019,76576,14718,46815,15043,19.2,61.1,19.6,132400, NY, Micro,12180,110.72637847553041,21.75168344399556,67.69295090278882,21.281744128746038
"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",310M100US12220,2010,310M100US122202010,140780,31653,96476,12651,22.5,68.5,9.0,151900, AL, Metro,12220,231.72363681340715,20.823524146373163,158.79932934515037,52.100783321883625
"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",310M100US12220,2011,310M100US122202011,143468,31286,98813,13369,21.8,68.9,9.3,157400, AL, Metro,12220,236.14808017009446,22.005350906083535,162.6460273081631,51.49670195584782
"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",310M100US12220,2012,310M100US122202012,147257,32129,101204,13924,21.8,68.7,9.5,155400, AL, Metro,12220,242.38476762488918,22.918879947363838,166.581609177895,52.884278499630334
"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",310M200US12220,2013,310M200US122202013,150933,32981,103055,14897,21.9,68.3,9.9,138100, AL, Metro,12220,248.43545727488268,24.520436266581378,169.62835198043524,54.28666902786604
"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",310M200US12220,2014,310M200US122202014,154255,33262,105118,15875,21.6,68.1,10.3,156000, AL, Metro,12220,253.90346353638387,26.130222577161803,173.02404641676185,54.749194542460216
"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",310M200US12220,2015,310M200US122202015,156993,33632,106630,16731,21.4,67.9,10.7,169000, AL, Metro,12220,258.41020680670005,27.53919709848782,175.51279580489847,55.35821390331375
"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",310M300US12220,2016,310M300US122202016,158991,34079,107336,17576,21.4,67.5,11.1,163400, AL, Metro,12220,261.6989113553091,28.930065638815485,176.6748705853379,56.09397513115572
"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",310M300US12220,2017,310M300US122202017,161604,34395,108393,18816,21.3,67.1,11.6,160700, AL, Metro,12220,265.99990484155313,30.971103496811118,178.41469075945193,56.61411058529009
"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",310M400US12220,2018,310M400US122202018,163941,34795,109259,19887,21.2,66.6,12.1,182700, AL, Metro,12220,269.84660280456586,32.73396764674121,179.84012526350372,57.27250989432094
"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",310M500US12220,2019,310M500US122202019,164542,34720,109077,20745,21.1,66.3,12.6,183000, AL, Metro,12220,270.83584776638475,34.14623416461239,179.54055357789468,57.14906002387766
